Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
1,Бастурма,6532,520,Мясо,Отличается гипоаллергенностью и безопасностью для большинства людей.,1999-08-11,2002-01-04,1.92,Out of Stock
2,Черника,4756,218,Фрукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1999-08-04,2006-05-05,2.76,New
3,Киноа,6482,555,Бакалея,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2013-05-04,2029-02-14,4.25,Awaiting Review
4,Мацони,4853,838,Молочные продукты,"Богат кальцием, необходимым для укрепления костей и зубов.",2020-04-18,2026-01-04,4.69,Delivered
5,Копчености,8545,757,Мясо,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2001-09-06,2006-03-03,3.39,Pending
6,Сметана,7991,213,Молочные продукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2005-02-08,2012-02-11,1.87,Out of Stock
7,Повидло,7817,404,Бакалея,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1992-02-02,2015-01-05,2.24,Returned
8,Утка,7186,896,Мясо,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,1990-07-03,2017-07-08,0.26,Pending
9,Ананас,8413,403,Фрукты,Является важным компонентом рациона для поддержания гормонального баланса.,1993-08-01,2016-03-08,0.94,Pending
10,Спаржа,9213,889,Овощи,Способствует нормализации обмена веществ в организме.,2016-06-04,2021-04-04,2.17,Pending
11,Печень,7090,448,Мясо,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2002-10-06,2021-05-10,0.15,Pending
12,Феодосийская,9788,470,Напитки,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1996-02-03,2014-01-19,3.68,Awaiting Review
13,Кольраби,6808,473,Овощи,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1993-03-01,2016-01-01,4.09,Awaiting Payment
14,Lipton Ice Tea,7501,133,Напитки,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2007-06-03,2019-06-05,0.34,Temporarily Unavailable
15,Фета,5563,985,Молочные продукты,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1991-02-12,2011-04-01,2.37,On Backorder
16,Пакеты для лекарств,4156,629,Товары для дома,"Помогает улучшить состояние волос, ногтей и кожи.",2014-04-05,2024-05-02,2.14,Pending
17,Персик,8794,783,Фрукты,Часто рекомендуется врачами-диетологами как часть здорового питания.,2022-01-11,2024-01-01,1.2,New
