product_id,name,price,quantity,category,description,production_date,expiration_date,status
1,Топлёное молоко,7135,331,Молочные продукты,Помогает поддерживать нормальный обмен веществ и метаболизм.,2002-01-19,2006-04-13,Awaiting Payment
2,Горох,2222,436,Овощи,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2010-04-03,3.36,On Backorder
3,Фейхоа,1172,299,Фрукты,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2008-01-14,3.76,Awaiting Review
4,Бифштекс,1624,882,Мясо,Является неотъемлемой частью рациона многих народов мира.,2001-04-12,2024-01-08,Available for Pickup
5,Щавель,7361,781,Овощи,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2009-03-04,2017-03-02,Available for Pickup
6,Фейхоа,7254,337,Фрукты,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2014-04-03,1.86,Pending
7,Крымская,9893,51,Напитки,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2019-01-08,2023-02-04,Delivered
8,Российский сыр,6475,426,Молочные продукты,Отличается высоким уровнем биологической доступности питательных веществ.,2019-10-09,2026-02-03,Sold
9,Молоко,5614,186,Молочные продукты,Может использоваться в косметических процедурах для увлажнения кожи.,1994-05-11,2005-11-03,Cancelled
10,San Pellegrino,5976,793,Напитки,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2019-07-01,0.35,Sold
11,Гранат,7088,675,Фрукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2017-03-15,3.8,Sold
12,Увинская жемчужина,2047,245,Напитки,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2002-02-04,1.07,Backorder
13,Пакеты для театра,3821,185,Товары для дома,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2007-03-12,2009-02-19,Backorder
14,Сметана,5896,208,Бакалея,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2000-07-02,2006-02-02,On Backorder
15,Кетчуп,3480,55,Бакалея,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2020-02-21,2.1,Delivered
16,Карбонад,8698,667,Мясо,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",1999-03-15,3.62,Sold
17,Йогурт питьевой,8109,738,Напитки,Подходит для использования в рецептах традиционной кухни разных стран.,1992-03-06,1997-01-02,Out of Stock
18,Яблоко,3075,724,Фрукты,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2011-01-05,2.0,In Stock
19,Пакеты для Пасхи,7097,796,Товары для дома,Может быть использован в качестве заменителя менее полезных продуктов.,2018-09-03,2028-06-24,Returned
20,Рулька,6749,927,Мясо,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,1991-02-06,2004-02-02,In Stock
21,Репа,9373,547,Овощи,Подходит для использования в качестве основы для смузи и коктейлей.,1998-06-12,2013-03-05,Backorder
22,Виноград,1616,503,Фрукты,Отличается высокими показателями усвояемости организмом.,2014-01-04,2022-08-01,Awaiting Review
23,Полотенца банные,6850,580,Товары для дома,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2022-02-19,2029-05-01,Available for Pickup
24,Каймак,1790,357,Молочные продукты,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2025-05-10,4.4,Cancelled
25,Моцарелла,5180,12,Молочные продукты,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2007-01-21,1.4,Refunded
26,Моющее средство для пола,1997,836,Товары для дома,Помогает предотвратить дефицит витаминов и минералов в организме.,2018-11-03,2020-04-12,In Stock
27,Пакеты для спортзала,8379,163,Товары для дома,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2001-08-21,2.46,Out of Stock
28,Зубная паста,2002,512,Товары для дома,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2007-07-03,2022-04-16,Cancelled
29,Портулак,3530,286,Овощи,"Богат кальцием, необходимым для укрепления костей и зубов.",2008-06-02,2.34,Available for Pickup
30,Марьинская,2881,594,Напитки,"Является источником витаминов группы B, необходимых для энергетического обмена.",2003-05-05,4.06,Cancelled
31,Кефир,2626,538,Молочные продукты,Служит основой для создания множества кулинарных шедевров.,2019-04-01,2019-04-01,Backorder
32,Кристалл Байкала,6242,209,Напитки,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1993-03-02,1.97,Refunded
33,Карбонад,1369,20,Мясо,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2004-03-01,1.9,In Stock
34,Fruko Schulz,9196,48,Напитки,Помогает улучшить работу мозга и повысить концентрацию внимания.,2015-01-02,2029-01-19,Cancelled
35,Эскалоп,4574,595,Мясо,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2029-02-16,1.12,Shipping
36,Сливки,7270,427,Молочные продукты,Отличается низким содержанием насыщенных жиров и холестерина.,2011-03-01,2028-01-03,Pending
37,Репа,5668,470,Овощи,Отличается гипоаллергенностью и безопасностью для большинства людей.,1998-01-21,2022-11-10,Cancelled
38,Простокваша,9262,918,Молочные продукты,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2004-02-08,2024-03-10,In Stock
39,Каша из ржи,8517,328,Бакалея,Отличается простотой в использовании и хранении.,2019-03-07,2027-07-03,On Backorder
40,Кефир,6530,865,Молочные продукты,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2006-01-03,0.09,Sold
41,Туалетная бумага,2577,796,Товары для дома,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",1998-05-15,3.69,Backorder
42,Формы для выпечки,381,13,Товары для дома,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",1995-11-04,0.65,New
43,Хлебопечка,9241,312,Товары для дома,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",1994-02-11,3.68,Awaiting Payment
44,Буррито с мясом,7323,867,Мясо,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2024-04-02,0.92,New
45,Сыр,5584,294,Молочные продукты,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2009-10-10,3.47,Pending
46,Зира молотая,1967,82,Бакалея,"Помогает улучшить состояние волос, ногтей и кожи.",2012-04-01,1.92,Pending
47,Сыр,2156,934,Молочные продукты,Отличается натуральным составом и отсутствием искусственных добавок.,1998-01-10,2009-06-12,Backorder
48,Репа,337,593,Овощи,"Обладает мягким вкусом, который нравится многим потребителям.",2005-01-03,1.64,Sold
49,Топлёное молоко,1074,19,Молочные продукты,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2013-01-20,2022-03-11,New
50,Кокос,4831,664,Фрукты,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2010-07-03,1.64,Awaiting Review
51,Портулак,1014,118,Овощи,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2006-02-01,3.33,Delivered
52,Спаржа,2516,335,Овощи,"Отличается приятным ароматом, который усиливает аппетит.",2008-11-14,3.27,Awaiting Review
53,Абрикос,5937,656,Фрукты,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1991-02-13,1999-02-08,Cancelled
54,Морс брусничный,5655,713,Напитки,Отличается низкой калорийностью и высоким содержанием белка.,2004-01-02,2016-03-09,Refunded
55,Пакеты многоразовые,8674,913,Товары для дома,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2010-01-10,3.98,Pending
56,Самса,5521,230,Мясо,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2022-01-06,4.57,Pending
57,Каша из сорго,3391,326,Бакалея,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1990-01-01,4.59,Sold
58,Камамбер,1966,570,Молочные продукты,Помогает поддерживать нормальный уровень электролитов в организме.,2017-09-23,2027-01-06,Backorder
59,Окра,6453,444,Овощи,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2010-03-22,0.27,Awaiting Payment
60,Фейхоа,2036,193,Фрукты,Отличается способностью повышать общий тонус и работоспособность.,2016-06-02,2020-02-01,Cancelled
61,Самарская,1073,997,Напитки,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2013-01-01,2023-04-04,Awaiting Payment
62,Лавровый лист,5274,508,Бакалея,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",1995-02-05,4.8,Delivered
63,Пакеты для уборки,5823,733,Товары для дома,"Является источником важных микроэлементов, таких как магний и калий.",2011-03-02,4.66,Awaiting Payment
64,Кровяная колбаса,3686,567,Мясо,Отличается способностью повышать общий тонус и работоспособность.,1997-02-04,2023-03-03,Awaiting Payment
65,Сидр яблочный,9233,219,Напитки,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2016-03-11,0.87,Pending
66,Грейпфрут,4316,2,Фрукты,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2012-03-04,2015-01-11,Pending
67,Свекла,7670,246,Овощи,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2020-04-15,4.44,Out of Stock
68,Пакеты для заморозки,5911,950,Товары для дома,Помогает укрепить иммунную систему и защитить организм от инфекций.,2013-05-08,2019-05-09,Pending
69,Смородина,1960,250,Фрукты,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",1995-01-08,2.38,Awaiting Review
70,Капучино,8977,186,Напитки,"Подходит для использования в диетах, направленных на снижение веса.",1998-04-02,1.26,Sold
71,Джем,106,633,Бакалея,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",1999-09-12,2.85,Awaiting Review
72,Карамбола,8962,229,Фрукты,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2016-06-04,2021-04-02,Cancelled
73,Пакеты для путешествий,7280,617,Товары для дома,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2029-02-17,4.31,On Backorder
74,Солонина,6628,255,Мясо,Отличается способностью повышать общий тонус и работоспособность.,2003-04-07,2003-08-10,Shipping
75,Красногорская,6589,156,Напитки,"Является источником антиоксидантов, замедляющих процессы старения.",1997-06-03,5.01,Delivered
76,Фейхоа,2156,315,Фрукты,Может использоваться в детском питании начиная с раннего возраста.,1998-03-12,2005-06-07,Cancelled
77,Пушкинская,8421,369,Напитки,Помогает улучшить когнитивные функции и память.,2009-05-02,2024-03-10,Sold
78,Спаржа,8111,20,Овощи,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2002-09-26,2015-04-03,On Backorder
79,Салями,153,706,Мясо,Идеален для перекусов между основными приемами пищи.,2019-02-07,2022-10-03,Shipping
80,Каймак,4879,61,Молочные продукты,Помогает улучшать качество сна и снижать уровень тревожности.,2003-02-16,2006-01-01,Returned
81,Банан,1622,215,Фрукты,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2019-03-04,4.34,Cancelled
82,Пепперони,446,505,Мясо,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2023-01-11,2.36,Temporarily Unavailable
83,Томаты в собственном соку,9989,163,Бакалея,Помогает поддерживать оптимальный вес и форму тела.,2006-05-04,2022-01-02,Shipping
84,Одинцовская,5878,256,Напитки,"Богат кальцием, необходимым для укрепления костей и зубов.",1996-05-04,1.43,New
85,Манго,9564,552,Фрукты,Помогает нормализовать артериальное давление и уровень холестерина.,1996-03-09,1999-04-04,Returned
86,Лук-порей,6099,568,Овощи,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2029-04-12,1.06,Pending
87,Ложки чайные,5139,809,Товары для дома,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2001-02-08,2011-09-04,On Backorder
88,Хурма,8317,655,Фрукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2014-05-04,2016-05-01,Returned
89,Пакеты для театра,5498,990,Товары для дома,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1992-01-07,2.97,Pending
90,Ямс,1346,924,Овощи,Помогает поддерживать нормальный уровень кислотности желудка.,2004-11-04,2019-02-07,On Backorder
91,Оленина,7680,200,Мясо,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",1992-10-10,4.95,Out of Stock
92,Персик,2127,838,Фрукты,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2016-06-14,4.13,Cancelled
93,Айва,3657,393,Фрукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2019-06-15,1.13,On Backorder
